label,comment
neutral,"tài liệu được bổ sung nhiều và đầy đủ trên moodle .
"
neutral,"giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .
"
neutral,"bài tập đa dạng , cụ thể .
"
neutral,"slide up đầy đủ trước mỗi buổi học .
"
positive,"nội dung giảng dạy quá nhàm chán , khô khan .
"
neutral,"thầy chép bảng nhiều .
"
positive,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .
"
neutral,"Rất ổn.
"
negative,"thầy dạy khás hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !
"
neutral,"hy vọng học kỳ sau có thể học được với cô .
"
negative,"kết thúc môn rồi mà vẫn không biết mình đang học cái gì :3
"
neutral,"trong khi giảng nói nhỏ quá .
"
neutral,"thực hành khó hiểu .
"
positive,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .
"
positive,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .
"
positive,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .
"
positive,"cô rất nhiệt tình và tận dụng tốt thời gian .
"
positive,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .
"
positive,"thầy nhiệt tình , gần gũi .
"
positive,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .
"
neutral,"tạo ra sự cạnh tranh trong mỗi buổi thực hành .
"
negative,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .
"
negative,"tài liệu không được detail cho lắm .
"
negative,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .
"
negative,"cô dạy buồn ngủ quá .
"
positive,"nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .
"
positive,"thầy tận tình vui tính .
"
positive,"cô giảng hay cuốn hút và truyền đạt dễ hiuể .
"
neutral,"có hứng thú học .
"
positive,"ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .
"
negative,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .
"
negative,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .
"
neutral,"cần có một phòng máy tốt hơn , hiện đại hơn .
"
positive,"giảng viên đánh giá sai điểm và năng lực của học sinh .
"
negative,"giảng viên thân thiện , quan tâm tới sinh viên .
"
neutral,"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .
"
negative,"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .
"
positive,"thầy dạy rất tốt và nhiệt tình .
"
neutral,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .
"
negative,"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .
"
positive,"bài tập và hoạt động nhóm còn ít .
"
positive,"cô hướng dẫn thực hành khá đầy đủ .
"
neutral,"được học nhiều kinh nghiệm từ thầy wzjwz163 .
"
negative,"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .
"
neutral,"cải thiện lại cơ sở vật chất máy chiếu trong phòng học .
"
negative,"dạy không phù hợp với cách học của em .
"
neutral,"lớp học quá đông !
"
negative,"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .
"
positive,"tôi cảm thấy giảng viên dạy rất tốt .
"
neutral,"cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .
"
neutral,"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .
"
neutral,"coi lại thái độ giảng viên thực hành .
"
positive,"bài giảng của thầy rất nhiệt tình .
"
negative,"môn học chưa thực tiễn , chưa thu hút sinh viên .
"
negative,"ít làm bài tập .
"
negative,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .
"
positive,"giảng viên nhiệt tình , bài giảng thu hút .
"
positive,"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !
"
neutral,"cần thêm nhiều tài liệu cho sinh viên .
"
negative,"bài tập trên lớp .
"
neutral,"tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .
"
positive,"thầy nhiệt tình dễ hiểu .
"
neutral,"thực hành và lý thuyết nên dạy song song .
"
neutral,"bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .
"
negative,"cập nhật bài tập mới .
"
negative,"tận tâm , nhiệt tình , quan tâm đến sinh viên .
"
neutral,"phản hồi giải đáp thắc mắc cho sinh viên .
"
neutral,"mong ban thiết bị sớm khắc phục ạ !
"
negative,"môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .
"
